Writing models at epoch 1
Loss 0.009051583383394323, Test Accuracy 0.9729347729164621, Train Accuracy 0.9959119994818053, Val Accuracy 0.9556086831766626, Test Seq Accuracy 0.4347499999999999, Train Seq Accuracy 0.9138571428571433, Val Seq Accuracy 0.38925
Loss 1.1195306401730151e-08, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9770108572814775, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5414999999999999
Loss 9.53674333706421e-09, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9770108572814775, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5414999999999999
Loss 7.670858730821435e-09, Test Accuracy 0.9810652091451313, Train Accuracy 1.0, Val Accuracy 0.9770108572814775, Test Seq Accuracy 0.57575, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5414999999999999
Loss 6.6342559658432555e-09, Test Accuracy 0.9810652091451313, Train Accuracy 1.0, Val Accuracy 0.9770108572814775, Test Seq Accuracy 0.57575, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5414999999999999
Loss 6.219615354142582e-09, Test Accuracy 0.9810652091451313, Train Accuracy 1.0, Val Accuracy 0.9770108572814775, Test Seq Accuracy 0.57575, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5414999999999999
Loss 5.183012589164402e-09, Test Accuracy 0.9810652091451313, Train Accuracy 1.0, Val Accuracy 0.9770108572814775, Test Seq Accuracy 0.57575, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5414999999999999
Loss 4.561051362681768e-09, Test Accuracy 0.9810652091451313, Train Accuracy 1.0, Val Accuracy 0.9766521614530812, Test Seq Accuracy 0.57575, Train Seq Accuracy 1.0, Val Seq Accuracy 0.53325
Loss 3.317127673990003e-09, Test Accuracy 0.9810652091451313, Train Accuracy 1.0, Val Accuracy 0.9766521614530812, Test Seq Accuracy 0.57575, Train Seq Accuracy 1.0, Val Seq Accuracy 0.53325
Loss 2.9024867533577058e-09, Test Accuracy 0.9810652091451313, Train Accuracy 1.0, Val Accuracy 0.9766521614530812, Test Seq Accuracy 0.57575, Train Seq Accuracy 1.0, Val Seq Accuracy 0.53325
Loss 2.280525217943448e-09, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9766521614530812, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.53325
Loss 1.8658842973111505e-09, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9767934661844503, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5365
Loss 8.292819957304069e-10, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9767934661844503, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5365
Writing models at epoch 66
Loss 6.219614967978051e-10, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9772391183220822, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.54475
Writing models at epoch 67
Loss 4.1464099786520347e-10, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9774130313292794, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5487500000000001
Writing models at epoch 68
Loss 4.1464099786520347e-10, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9776412921107334, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5535
Writing models at epoch 69
Loss 2.0732049893260174e-10, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9777173789946929, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5549999999999999
Writing models at epoch 70
Loss 2.0732049893260174e-10, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9779130309820175, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5595
Writing models at epoch 71
Loss 0.0, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9789130326198495, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5665000000000001
Loss 0.0, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9786521629146908, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5605
Writing models at epoch 73
Loss 0.0, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9789782499489577, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.568
Loss 0.0, Test Accuracy 0.9809130353772122, Train Accuracy 1.0, Val Accuracy 0.9787282499282256, Test Seq Accuracy 0.5744999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5622499999999999
Loss 0.0, Test Accuracy 0.9808043398286985, Train Accuracy 1.0, Val Accuracy 0.9786847717088202, Test Seq Accuracy 0.57325, Train Seq Accuracy 1.0, Val Seq Accuracy 0.56125
Loss 0.0, Test Accuracy 0.9803804257641668, Train Accuracy 1.0, Val Accuracy 0.9786195541205613, Test Seq Accuracy 0.5642499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.55975
Writing models at epoch 77
Loss 0.0, Test Accuracy 0.979869556038276, Train Accuracy 1.0, Val Accuracy 0.9791630339363347, Test Seq Accuracy 0.5542499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5715000000000001
Loss 0.0, Test Accuracy 0.979869556038276, Train Accuracy 1.0, Val Accuracy 0.9791630339363347, Test Seq Accuracy 0.5542499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5715000000000001
Loss 0.0, Test Accuracy 0.9797173821407815, Train Accuracy 1.0, Val Accuracy 0.9787499890379284, Test Seq Accuracy 0.5507500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5624999999999999
Loss 2.0732049893260174e-10, Test Accuracy 0.9793260781661324, Train Accuracy 1.0, Val Accuracy 0.9780869455441185, Test Seq Accuracy 0.54175, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5475000000000001
Loss 0.0, Test Accuracy 0.9793260781661324, Train Accuracy 1.0, Val Accuracy 0.979260857856792, Test Seq Accuracy 0.54175, Train Seq Accuracy 1.0, Val Seq Accuracy 0.56375
Loss 0.0, Test Accuracy 0.9797391218983609, Train Accuracy 1.0, Val Accuracy 0.9791412926238516, Test Seq Accuracy 0.5512500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5617500000000001
Loss 0.0, Test Accuracy 0.9797391218983609, Train Accuracy 1.0, Val Accuracy 0.9789130321015482, Test Seq Accuracy 0.5512500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5559999999999999
Loss 2.0732049893260174e-10, Test Accuracy 0.9797391218983609, Train Accuracy 1.0, Val Accuracy 0.9775217266186423, Test Seq Accuracy 0.5512500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5424999999999999
Writing models at epoch 85
Loss 8.292819957304069e-10, Test Accuracy 0.9793043397043062, Train Accuracy 1.0, Val Accuracy 0.9790434657231621, Test Seq Accuracy 0.54125, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5775
Loss 0.02810301210569299, Test Accuracy 0.9664347735436066, Train Accuracy 0.9883943913392645, Val Accuracy 0.9499782481919165, Test Seq Accuracy 0.28925, Train Seq Accuracy 0.7594047619047621, Val Seq Accuracy 0.09175000000000003
Loss 0.0011652193801558535, Test Accuracy 0.9740434710098349, Train Accuracy 0.9997846791462869, Val Accuracy 0.9561739008063855, Test Seq Accuracy 0.4185, Train Seq Accuracy 0.9950476190476204, Val Seq Accuracy 0.147
Loss 0.00029321743742279386, Test Accuracy 0.9714130358851474, Train Accuracy 0.9999948240214993, Val Accuracy 0.9570869447096534, Test Seq Accuracy 0.354, Train Seq Accuracy 0.9998809523809525, Val Seq Accuracy 0.15875000000000003
Loss 0.00017229078904442164, Test Accuracy 0.9747826004805772, Train Accuracy 0.9999979296085998, Val Accuracy 0.9589891177156697, Test Seq Accuracy 0.43249999999999994, Train Seq Accuracy 0.999952380952381, Val Seq Accuracy 0.19224999999999998
Loss 0.00011496180061088955, Test Accuracy 0.974706513337467, Train Accuracy 1.0, Val Accuracy 0.9600325966658799, Test Seq Accuracy 0.4307499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.21250000000000005
Loss 8.397910784444083e-05, Test Accuracy 0.9747173828923184, Train Accuracy 1.0, Val Accuracy 0.9602173797462298, Test Seq Accuracy 0.4309999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.22075
Loss 6.44760591018459e-05, Test Accuracy 0.9747717309257259, Train Accuracy 1.0, Val Accuracy 0.9601847709521003, Test Seq Accuracy 0.4322499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.2205
Loss 5.1216657637901925e-05, Test Accuracy 0.9747826004805772, Train Accuracy 1.0, Val Accuracy 0.9604239016771317, Test Seq Accuracy 0.43249999999999994, Train Seq Accuracy 1.0, Val Seq Accuracy 0.22525
Loss 4.167422277690924e-05, Test Accuracy 0.974586948234102, Train Accuracy 1.0, Val Accuracy 0.9603152059990426, Test Seq Accuracy 0.42799999999999994, Train Seq Accuracy 1.0, Val Seq Accuracy 0.22475
Loss 3.4503213575352795e-05, Test Accuracy 0.9752391220434852, Train Accuracy 1.0, Val Accuracy 0.9603695537732995, Test Seq Accuracy 0.44299999999999995, Train Seq Accuracy 1.0, Val Seq Accuracy 0.22600000000000003
Loss 2.8942979912719e-05, Test Accuracy 0.9741847747046014, Train Accuracy 1.0, Val Accuracy 0.9603695537732995, Test Seq Accuracy 0.42024999999999996, Train Seq Accuracy 1.0, Val Seq Accuracy 0.22600000000000003
Loss 2.452560052599596e-05, Test Accuracy 0.9742173834987309, Train Accuracy 1.0, Val Accuracy 0.9603043364441913, Test Seq Accuracy 0.4205, Train Seq Accuracy 1.0, Val Seq Accuracy 0.225
Loss 2.0935947996685687e-05, Test Accuracy 0.9742173832395803, Train Accuracy 1.0, Val Accuracy 0.9601412931214208, Test Seq Accuracy 0.41974999999999996, Train Seq Accuracy 1.0, Val Seq Accuracy 0.22224999999999998
Loss 1.798121704031592e-05, Test Accuracy 0.9738695572251859, Train Accuracy 1.0, Val Accuracy 0.9601630322311235, Test Seq Accuracy 0.41175000000000006, Train Seq Accuracy 1.0, Val Seq Accuracy 0.22274999999999995
Loss 1.55157619662097e-05, Test Accuracy 0.9738260788762051, Train Accuracy 1.0, Val Accuracy 0.9601956408956777, Test Seq Accuracy 0.41075, Train Seq Accuracy 1.0, Val Seq Accuracy 0.22349999999999995
