Writing models at epoch 1
Loss 0.054464412772137184, Test Accuracy 0.9469130335942558, Train Accuracy 0.9773208925442666, Val Accuracy 0.9504999883796857, Test Seq Accuracy 0.08775, Train Seq Accuracy 0.5885238095238098, Val Seq Accuracy 0.1425
Loss 1.6772643784465998e-05, Test Accuracy 0.9987499970456828, Train Accuracy 0.9999989648042998, Val Accuracy 0.9969673865515253, Test Seq Accuracy 0.9712499999999998, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.9350000000000002
Loss 6.084234843475987e-06, Test Accuracy 0.9911304278218228, Train Accuracy 1.0, Val Accuracy 0.995586949457293, Test Seq Accuracy 0.8247499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.9155000000000001
Loss 1.7833916227454726e-05, Test Accuracy 0.9919782536185306, Train Accuracy 0.999904761896864, Val Accuracy 0.9942717311174973, Test Seq Accuracy 0.8334999999999999, Train Seq Accuracy 0.9978095238095248, Val Seq Accuracy 0.8702500000000001
Loss 2.1284972519978233e-05, Test Accuracy 0.9988804320926251, Train Accuracy 1.0, Val Accuracy 0.9904673853646154, Test Seq Accuracy 0.9742499999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7929999999999999
Loss 7.766018667177338e-06, Test Accuracy 0.9990108679170194, Train Accuracy 1.0, Val Accuracy 0.9964021694401036, Test Seq Accuracy 0.9772500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.9172499999999999
Loss 5.192134741936689e-06, Test Accuracy 0.9963695594797963, Train Accuracy 1.0, Val Accuracy 0.9914239059323849, Test Seq Accuracy 0.9164999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.8027499999999999
Loss 1.0053386137334872e-05, Test Accuracy 0.9949456463689389, Train Accuracy 0.9999979296085998, Val Accuracy 0.9898912979208905, Test Seq Accuracy 0.88375, Train Seq Accuracy 0.999952380952381, Val Seq Accuracy 0.7675
Loss 4.2678272027684294e-05, Test Accuracy 0.987989121545916, Train Accuracy 0.9999834368564574, Val Accuracy 0.9873043366100477, Test Seq Accuracy 0.72375, Train Seq Accuracy 0.9996190476190477, Val Seq Accuracy 0.7169999999999999
Loss 0.00040460163322479826, Test Accuracy 0.9912608624800392, Train Accuracy 0.9991583839336537, Val Accuracy 0.9803586876910666, Test Seq Accuracy 0.7989999999999999, Train Seq Accuracy 0.981261904761906, Val Seq Accuracy 0.635
Loss 8.493506238269417e-06, Test Accuracy 0.9899456459542979, Train Accuracy 1.0, Val Accuracy 0.9912934711445933, Test Seq Accuracy 0.8009999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7997499999999998
Loss 5.1697655378476433e-05, Test Accuracy 0.9953695608221966, Train Accuracy 1.0, Val Accuracy 0.9874999919663305, Test Seq Accuracy 0.9070000000000003, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7397499999999999
Loss 3.3233271729525015e-05, Test Accuracy 0.9973586927289548, Train Accuracy 1.0, Val Accuracy 0.9886304276145023, Test Seq Accuracy 0.9434999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7797499999999999
Loss 2.69682514835554e-06, Test Accuracy 0.9975434752910034, Train Accuracy 1.0, Val Accuracy 0.9896847766378651, Test Seq Accuracy 0.946, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7695000000000001
Loss 8.865004486363867e-05, Test Accuracy 0.9971739105556322, Train Accuracy 0.9999472049452504, Val Accuracy 0.9947391252154889, Test Seq Accuracy 0.9352500000000001, Train Seq Accuracy 0.9987857142857148, Val Seq Accuracy 0.88425
Loss 1.5940458979457617e-05, Test Accuracy 0.9915652109229046, Train Accuracy 1.0, Val Accuracy 0.9898586865352548, Test Seq Accuracy 0.8059999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7720000000000002
Loss 3.206542865170733e-05, Test Accuracy 0.9962934747986172, Train Accuracy 0.9999989648042998, Val Accuracy 0.9908804272827895, Test Seq Accuracy 0.91475, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.79025
Loss 2.1955241327700406e-05, Test Accuracy 0.9996521728194279, Train Accuracy 0.9999824016730978, Val Accuracy 0.9942173859347467, Test Seq Accuracy 0.992, Train Seq Accuracy 0.9995952380952383, Val Seq Accuracy 0.867
Loss 0.00195832728691723, Test Accuracy 1.0, Train Accuracy 1.0, Val Accuracy 0.9916521668434143, Test Seq Accuracy 1.0, Train Seq Accuracy 1.0, Val Seq Accuracy 0.81425
Loss 4.3732397582219995e-05, Test Accuracy 0.9926412972419159, Train Accuracy 0.9999658385295552, Val Accuracy 0.9886956392422966, Test Seq Accuracy 0.8307499999999999, Train Seq Accuracy 0.9992142857142862, Val Seq Accuracy 0.7940000000000002
Loss 1.3166512160197549e-05, Test Accuracy 0.9982608665590701, Train Accuracy 0.9999968944128996, Val Accuracy 0.9887391164250996, Test Seq Accuracy 0.9599999999999997, Train Seq Accuracy 0.9999285714285715, Val Seq Accuracy 0.7675
Loss 7.48592909708943e-06, Test Accuracy 0.9965978203908257, Train Accuracy 1.0, Val Accuracy 0.9925543387298998, Test Seq Accuracy 0.9280000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.8414999999999999
Loss 1.403103638237909e-05, Test Accuracy 0.9914456434871839, Train Accuracy 1.0, Val Accuracy 0.9931412974129552, Test Seq Accuracy 0.8032499999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.8497499999999999
Loss 4.44515962558596e-06, Test Accuracy 0.9962499959313351, Train Accuracy 0.9999989648042998, Val Accuracy 0.9902391210846279, Test Seq Accuracy 0.91375, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.792
Loss 6.938208420963392e-05, Test Accuracy 0.9951413009477699, Train Accuracy 0.999984472064498, Val Accuracy 0.9921739049579786, Test Seq Accuracy 0.891, Train Seq Accuracy 0.9996428571428575, Val Seq Accuracy 0.8467500000000001
Loss 1.3339519247655636e-05, Test Accuracy 0.994086951924407, Train Accuracy 1.0, Val Accuracy 0.9910652080307836, Test Seq Accuracy 0.8640000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.8035
Loss 7.760421241350148e-06, Test Accuracy 0.9922065106423005, Train Accuracy 0.9999989648042998, Val Accuracy 0.9964021696992542, Test Seq Accuracy 0.8459999999999999, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.9179999999999999
Loss 1.749214868101737e-05, Test Accuracy 0.9975978220286577, Train Accuracy 0.9999917184343989, Val Accuracy 0.9938369476276895, Test Seq Accuracy 0.94475, Train Seq Accuracy 0.999809523809524, Val Seq Accuracy 0.8789999999999999
Loss 1.3163193058141548e-05, Test Accuracy 0.9976413011550903, Train Accuracy 0.9999989648042998, Val Accuracy 0.9917608640764071, Test Seq Accuracy 0.9465, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.8110000000000002
Loss 5.767863552571963e-06, Test Accuracy 0.9996739119291306, Train Accuracy 1.0, Val Accuracy 0.9963369524997213, Test Seq Accuracy 0.9924999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.9157499999999998
Loss 2.4863948056008667e-06, Test Accuracy 0.999391303114269, Train Accuracy 1.0, Val Accuracy 0.9962934740211653, Test Seq Accuracy 0.9859999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.9147500000000001
Loss 0.00013630752168271852, Test Accuracy 0.9972173859243808, Train Accuracy 0.999956521768254, Val Accuracy 0.9900108627651049, Test Seq Accuracy 0.9402500000000001, Train Seq Accuracy 0.9990000000000003, Val Seq Accuracy 0.8119999999999999
Loss 8.260063148792023e-06, Test Accuracy 0.9968804297239884, Train Accuracy 1.0, Val Accuracy 0.9843804214311682, Test Seq Accuracy 0.9337500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7275000000000001
Loss 4.363122254448093e-05, Test Accuracy 0.9922391224166621, Train Accuracy 0.9999906832386988, Val Accuracy 0.9781304237635239, Test Seq Accuracy 0.8602500000000001, Train Seq Accuracy 0.9997857142857144, Val Seq Accuracy 0.7
Loss 6.350226138475472e-06, Test Accuracy 0.9955108627029087, Train Accuracy 1.0, Val Accuracy 0.9800108581781387, Test Seq Accuracy 0.9035000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7002499999999999
Loss 5.091791694133502e-06, Test Accuracy 0.9945652092280595, Train Accuracy 1.0, Val Accuracy 0.9859456365523132, Test Seq Accuracy 0.884, Train Seq Accuracy 1.0, Val Seq Accuracy 0.746
Loss 4.3394250931906635e-06, Test Accuracy 0.9964130379583525, Train Accuracy 1.0, Val Accuracy 0.9848804203064545, Test Seq Accuracy 0.9237500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7407499999999998
Loss 6.489237041577049e-05, Test Accuracy 0.9926630319460579, Train Accuracy 1.0, Val Accuracy 0.9770543366670609, Test Seq Accuracy 0.8582500000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6805000000000001
Loss 1.067659215313261e-05, Test Accuracy 0.9907934665679932, Train Accuracy 0.9999896480429987, Val Accuracy 0.9815869442794634, Test Seq Accuracy 0.8195, Train Seq Accuracy 0.9997619047619049, Val Seq Accuracy 0.71375
Loss 3.993117665548039e-05, Test Accuracy 0.9916521624378536, Train Accuracy 0.9999792960859974, Val Accuracy 0.9853043352780135, Test Seq Accuracy 0.84175, Train Seq Accuracy 0.9995238095238098, Val Seq Accuracy 0.7382500000000002
Loss 5.016327043489108e-06, Test Accuracy 0.9883369473011597, Train Accuracy 1.0, Val Accuracy 0.9894347663806833, Test Seq Accuracy 0.75925, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7822500000000001
Loss 9.15071248765225e-06, Test Accuracy 0.9970434731763342, Train Accuracy 1.0, Val Accuracy 0.9867825953856758, Test Seq Accuracy 0.9367499999999997, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7699999999999999
Loss 2.81371277473543e-05, Test Accuracy 0.9977173885573511, Train Accuracy 0.9999389234166708, Val Accuracy 0.9900760782801586, Test Seq Accuracy 0.9487499999999999, Train Seq Accuracy 0.9985952380952389, Val Seq Accuracy 0.83675
